Benchmark,Qubits,Qiskit O3 Fid,TKET Fid,RL Fid,Qiskit O3 gate_ratio,TKET gate_ratio,RL gate_ratio,Qiskit O3 Crit Depth,TKET Crit Depth,RL Crit Depth,Qiskit O3 mix,TKET mix,RL mix,Qiskit O3 Time,TKET Time,RL Fid Time,RL gate_ratio Time,RL Crit Depth Time,RL Fid Crit Depth,RL Fid gate_ratio,RL Crit Depth Fid,RL Crit Depth gate_ratio,RL gate_ratio Fid,RL gate_ratio Crit Depth
ghz,14,0.55986,0.65068,0.60493,0.56667,0.92398,0.87135,0.0,0.0,0.43421,0.27993,0.32534,0.30408,0.44,0.15,6.97,3.07,6.74,0.04545,0.4359,0.09899,0.1828,0.02234,0.27273
pricingput,11,0.0,0.00025,7e-05,0.60078,0.87341,0.95855,0.34578,0.27607,0.42584,0.17289,0.13815999999999998,0.19527,13.28,1.96,6.93,4.55,13.66,0.37209,0.66472,0.0,0.52527,0.0,0.2402
su2random,2,0.92437,0.91554,0.91063,0.9,0.91892,0.96512,0.0,0.0,0.0,0.462185,0.45777,0.455315,0.04,0.05,5.92,2.6,6.07,0.0,0.9434,0.49853,0.96154,0.48963,0.0
qftentangled,7,0.21203,0.28955,0.33991,0.53942,0.86928,0.84636,0.3964,0.35833,0.52632,0.304215,0.32394,0.37827,1.86,0.57,10.81,2.12,1.36,0.48571,0.74138,0.05513,0.84636,0.05513,0.52632
qpeexact,2,0.97173,0.98034,0.95928,0.91667,0.92308,0.94286,0.0,0.0,0.0,0.485865,0.49017,0.47964,0.43,0.03,3.47,1.55,3.06,0.0,0.84615,0.93405,0.97297,0.64788,0.0
qftentangled,7,0.21203,0.28955,0.33991,0.53942,0.86928,0.84636,0.3964,0.35833,0.52632,0.304215,0.32394,0.290725,0.97,0.52,7.94,1.72,2.93,0.48571,0.74138,0.05513,0.84636,0.05513,0.52632
qftentangled,10,0.04245,0.00033,0.07184,0.4587,0.86559,0.84532,0.44177,0.51667,0.65789,0.24211,0.2585,0.330485,1.76,6.36,6.56,1.65,1.08,0.67708,0.35714,0.00308,0.84532,0.00308,0.65789
qgan,12,0.0092,0.00879,0.00493,0.67723,0.86709,0.83871,0.48661,0.42857,0.56477,0.247905,0.21868,0.235205,2.73,7.02,5.25,11.21,3.72,0.42222,0.44759,0.0,0.45014,0.0,0.51579
ghz,13,0.56582,0.66574,0.66118,0.57143,0.92405,0.88,0.0,0.0,0.5,0.28291,0.33287,0.34068,0.53,0.13,4.96,2.96,3.16,0.0,0.51613,0.0778,0.16,0.11211,0.0
vqe,12,0.45201,0.62711,0.59732,0.86982,0.92058,0.90647,0.40909,0.40909,0.56693,0.43055,0.5181,0.512015,0.52,0.24,3.3,12.17,2.84,0.36,0.91135,0.03436,0.60188,0.00272,0.42308
