Benchmark,Qubits,Qiskit O3 Fid,TKET Fid,RL Fid,Qiskit O3 gate_ratio,TKET gate_ratio,RL gate_ratio,Qiskit O3 Crit Depth,TKET Crit Depth,RL Crit Depth,Qiskit O3 mix,TKET mix,RL mix,Qiskit O3 Time,TKET Time,RL Fid Time,RL gate_ratio Time,RL Crit Depth Time,RL Fid Crit Depth,RL Fid gate_ratio,RL Crit Depth Fid,RL Crit Depth gate_ratio,RL gate_ratio Fid,RL gate_ratio Crit Depth
qpeexact,6,0.47475,0.36447,0.45672,0.64286,0.87316,0.86237,0.27273,0.21739,0.39394,0.37373999999999996,0.29093,0.34306000000000003,0.55,0.36,2.34,3.1,10.38,0.23684,0.50327,0.42909,0.74016,0.01362,0.28125
vqe,4,0.82607,0.85825,0.85733,0.89286,0.925,0.86957,0.16667,0.16667,0.16667,0.49637,0.51246,0.5136700000000001,0.07,0.09,7.69,1.09,1.38,0.16667,0.91429,0.86067,0.91429,0.72378,0.16667
su2random,6,0.21591,0.17537,0.19123,0.77807,0.87575,0.83871,0.48235,0.35152,0.53333,0.34913,0.263445,0.31928,2.97,0.53,5.78,1.46,1.27,0.29193,0.38783,0.10523,0.83871,0.10523,0.53333
qpeinexact,9,0.10722,0.04402,0.11712,0.55584,0.86865,0.85237,0.27485,0.39556,0.46429,0.19103499999999998,0.21979,0.238735,2.15,0.93,4.56,2.26,4.24,0.42922,0.42969,0.01318,0.85237,0.01318,0.46429
ghz,10,0.70445,0.74823,0.63543,0.59091,0.92437,0.84211,0.0,0.0,0.45833,0.352225,0.374115,0.38406,0.32,0.2,3.06,1.59,5.3,0.0,0.84211,0.12776,0.15294,0.63543,0.0
wstate,2,0.94102,0.92656,0.95157,0.81818,0.92,0.95349,0.0,0.0,0.0,0.47051,0.46328,0.475785,0.11,0.03,4.03,1.39,14.3,0.0,0.90476,0.58625,0.96078,0.63727,0.0
graphstate,6,0.3497,0.4916,0.67611,0.35802,0.8835,0.93333,0.19231,0.25,0.34146,0.271005,0.3708,0.42139,1.23,0.19,4.43,3.22,4.26,0.16667,0.91667,0.1981,0.59406,0.20414,0.33333
qft,12,0.00336,0.00071,0.00639,0.45827,0.86534,0.87014,0.46499,0.51474,0.72444,0.234175,0.257725,0.36653,0.53,7.58,11.26,3.38,2.64,0.56693,0.84754,0.0,0.2671,0.0,0.52991
twolocalrandom,10,0.00457,1e-05,0.01103,0.65243,0.86817,0.81379,0.52571,0.60264,0.72593,0.26514,0.30132499999999995,0.363745,3.3,6.79,4.45,2.11,1.73,0.53668,0.24709,0.00156,0.81379,0.00156,0.72593
dj,15,0.37965,0.30344,0.23707,0.7,0.87366,0.87333,0.06667,0.08511,0.4,0.22316,0.194275,0.37167,8.1,0.41,4.51,10.33,2.73,0.34545,0.47867,0.0694,0.47867,1e-05,0.54737
routing,6,0.70652,0.74239,0.74752,0.87179,0.91713,0.95098,0.4,0.4,0.4,0.5532600000000001,0.571195,0.5818300000000001,0.05,0.15,2.92,1.95,1.0,0.33333,0.85,0.51376,0.89362,0.12851,0.4
qft,2,0.9255,0.91606,0.91297,0.84211,0.88462,0.92958,0.0,0.0,0.0,0.46275,0.45803,0.456485,0.16,0.04,0.97,2.04,0.51,0.0,0.6875,0.91063,0.93333,0.46806,0.0
ghz,4,0.88868,0.89451,0.52167,0.7,0.92683,0.85714,0.0,0.0,0.0,0.44434,0.447255,0.42761,0.27,0.07,2.14,1.07,2.93,0.0,0.93023,0.88505,0.97059,0.85522,0.0
qpeinexact,11,0.00051,0.00085,0.01375,0.47759,0.86689,0.85137,0.34983,0.45,0.544,0.17517,0.22542500000000001,0.27281,1.29,15.01,17.21,1.18,0.11,0.46802,0.65737,0.00162,0.85137,0.00162,0.544
wstate,11,0.41543,0.62863,0.67126,0.78261,0.90991,0.88372,0.4,0.4,0.4,0.40771500000000005,0.5143150000000001,0.54068,0.5,0.32,10.58,0.54,1.14,0.4,0.85294,0.32417,0.88372,0.32417,0.4
vqe,18,0.27046,0.16932,0.30421,0.85714,0.91885,0.88552,0.44118,0.44118,0.55882,0.35582,0.30525,0.44445,16.18,0.36,10.73,2.1,0.71,0.55224,0.76655,0.00016,0.4586,0.0,0.56024
dj,6,0.76069,0.73031,0.73646,0.71429,0.88172,0.92675,0.0,0.0,0.42857,0.380345,0.365155,0.478955,0.09,0.24,4.54,19.69,3.18,0.3913,0.62295,0.31114,0.76667,0.08866,0.0
portfoliovqe,6,0.09623,0.17638,0.23237,0.68337,0.86936,0.89655,0.43885,0.35152,0.53333,0.26754,0.26395,0.301625,0.94,0.51,3.16,1.47,1.02,0.41667,0.69427,0.06992,0.89655,0.06992,0.53333
qpeinexact,16,0.0,0.0,0.0001,0.49477,0.86464,0.86792,0.50444,0.52787,0.69606,0.25222,0.263935,0.274155,1.88,2.79,3.17,5.35,20.09,0.55439,0.35227,0.0,0.2504,0.0,0.54167
vqe,3,0.85148,0.88846,0.80332,0.90698,0.92727,0.95833,0.0,0.0,0.0,0.42574,0.44423,0.44127,0.23,0.06,1.93,1.65,1.72,0.0,0.875,0.41483,0.95833,0.41483,0.0
twolocalrandom,7,0.06579,0.00438,0.1396,0.63508,0.87247,0.82,0.44199,0.44809,0.60317,0.25389,0.226235,0.29674999999999996,2.95,0.68,3.51,2.11,1.99,0.51429,0.3617,0.04756,0.82,0.04756,0.60317
qpeinexact,8,0.11998,0.01718,0.11885,0.52669,0.86975,0.85393,0.22556,0.29032,0.4,0.17277,0.15375,0.313045,1.21,0.81,2.23,1.67,17.89,0.42703,0.41824,0.03465,0.85393,0.03465,0.4
dj,16,0.38908,0.27579,0.19093,0.75776,0.87313,0.875,0.05128,0.07843,0.44262,0.22018,0.17711,0.36194000000000004,0.14,0.45,2.59,4.47,3.57,0.64167,0.50617,0.00332,0.40196,1e-05,0.5463
realamprandom,8,0.02217,0.00078,0.02431,0.59162,0.86974,0.81739,0.37607,0.48333,0.65476,0.19912000000000002,0.242055,0.336145,0.5,1.74,4.84,2.24,1.16,0.4214,0.31264,0.01753,0.81739,0.01753,0.65476
qgan,9,0.21021,0.25707,0.17908,0.74005,0.86915,0.90698,0.40816,0.43089,0.58333,0.30918500000000004,0.34398,0.345405,0.32,1.0,3.21,2.24,1.12,0.31818,0.66917,0.10748,0.90698,0.10748,0.58333
qft,15,0.00042,0.0,0.00665,0.4948,0.86507,0.86791,0.62921,0.60312,0.5984,0.314815,0.30156,0.30088,0.62,18.24,3.33,2.66,6.53,0.65761,0.38598,0.0,0.86362,0.0,0.59513
wstate,15,0.32502,0.39363,0.41385,0.78125,0.90968,0.86978,0.42857,0.42857,0.5241,0.376795,0.4111,0.39297,0.36,0.32,4.83,1.09,4.26,0.37209,0.82158,0.06036,0.59113,0.0,0.27358
vqe,8,0.60559,0.7448,0.74272,0.87931,0.92222,0.9527,0.35714,0.35714,0.35714,0.481365,0.55097,0.480605,0.07,0.15,10.9,0.09,0.2,0.29412,0.8595,0.47696,0.86275,0.12335,0.35714
graphstate,15,0.27764,0.32013,0.37823,0.60305,0.89344,0.84211,0.75,0.58974,0.75084,0.5138199999999999,0.45493500000000003,0.5327999999999999,0.15,0.52,10.51,0.11,0.77,0.50877,0.70312,0.00121,0.33557,0.00183,0.64444
qaoa,7,0.4391,0.24115,0.45169,0.74522,0.88304,0.91667,0.55,0.55,0.57143,0.49455000000000005,0.395575,0.48632,0.23,0.3,4.17,0.23,0.09,0.55102,0.70833,0.40121,0.91667,0.40121,0.57143
qpeinexact,5,0.40722,0.41276,0.56937,0.61682,0.8776,0.85635,0.12195,0.17021,0.19231,0.264585,0.291485,0.36951500000000004,0.98,0.31,3.98,0.48,0.66,0.11321,0.52679,0.25852,0.85635,0.25852,0.19231
qaoa,10,0.23122,0.19956,0.27126,0.70464,0.87973,0.91667,0.61429,0.62857,0.65,0.422755,0.41406499999999996,0.46063,0.59,0.47,4.96,0.05,1.03,0.65,0.91667,0.27126,0.91667,0.27126,0.65
ghz,17,0.49176,0.32115,0.44933,0.55556,0.92381,0.87179,0.0,0.0,0.4557,0.24588,0.160575,0.41461000000000003,8.68,0.19,5.31,2.7,2.92,0.40385,0.27778,2e-05,0.86213,0.00845,0.24
realamprandom,10,0.00457,1e-05,0.01103,0.65312,0.86817,0.81379,0.52571,0.60264,0.72593,0.26514,0.30132499999999995,0.363745,0.52,6.78,3.81,1.37,1.08,0.53668,0.24709,0.00156,0.81379,0.00156,0.72593
wstate,20,0.2396,0.30148,0.23938,0.78035,0.90952,0.87438,0.44737,0.44737,0.56,0.343485,0.374425,0.40938,9.64,0.44,3.78,3.13,3.6,0.39024,0.83922,0.00031,0.48148,0.0,0.42574
vqe,3,0.85148,0.88846,0.88254,0.90698,0.92727,0.95833,0.0,0.0,0.0,0.42574,0.44423,0.45995,0.17,0.05,3.57,1.34,0.85,0.0,0.92308,0.88254,0.92308,0.41483,0.0
qftentangled,4,0.52983,0.51352,0.65667,0.46875,0.87288,0.84672,0.14706,0.0,0.28571,0.338445,0.25676,0.31461,0.11,0.29,3.55,1.21,0.72,0.16667,0.46269,0.34351,0.84672,0.34351,0.28571
ghz,10,0.70445,0.74823,0.63543,0.59091,0.92437,0.84211,0.0,0.0,0.43636,0.352225,0.374115,0.38406,0.38,0.1,0.9,0.67,4.85,0.0,0.84211,0.06717,0.08333,0.63543,0.0
qgan,11,0.01264,0.00507,0.06672,0.73019,0.86757,0.9,0.39375,0.57073,0.65455,0.203195,0.2879,0.345725,3.8,10.44,5.3,0.66,1.08,0.4486,0.65539,0.0369,0.9,0.0369,0.65455
qftentangled,13,9e-05,7e-05,0.02425,0.48837,0.86609,0.86852,0.47273,0.70694,0.75503,0.23640999999999998,0.353505,0.361285,1.92,5.87,14.88,4.08,1.16,0.71212,0.66917,0.0,0.24429,0.0,0.49057
qftentangled,4,0.52983,0.51352,0.65667,0.46875,0.87288,0.94627,0.14706,0.0,0.28571,0.338445,0.25676,0.40168,0.25,0.21,4.37,1.41,1.46,0.16667,0.46269,0.34351,0.84672,0.01077,0.16667
qgan,2,0.95482,0.93676,0.96525,0.94737,0.94737,0.975,0.0,0.0,0.0,0.47741,0.46838,0.455115,0.22,0.03,1.17,0.22,1.5,0.0,0.96552,0.96394,0.97368,0.6678,0.0
pricingcall,7,0.05424,0.00354,0.00072,0.66847,0.87813,0.86526,0.17391,0.15676,0.26168,0.11407500000000001,0.08015,0.071205,1.78,0.84,17.35,0.96,9.69,0.21834,0.53737,0.00131,0.50463,0.00438,0.16667
graphstate,10,0.27837,0.54889,0.52083,0.43802,0.90805,0.91667,0.19118,0.25,0.4,0.234775,0.399445,0.460415,0.16,0.34,13.27,2.01,1.77,0.4,0.91667,0.52083,0.91667,0.52083,0.4
vqe,11,0.38029,0.62543,0.64007,0.87421,0.92126,0.86111,0.4,0.4,0.4,0.390145,0.512715,0.54032,0.9,0.21,16.33,1.17,0.93,0.34783,0.95644,0.34885,0.86111,0.34885,0.4
vqe,8,0.60559,0.7448,0.47696,0.87931,0.92222,0.9527,0.35714,0.35714,0.35714,0.481365,0.55097,0.37766999999999995,6.65,0.15,2.44,1.43,0.86,0.35714,0.86275,0.54868,0.90141,0.12335,0.35714
tsp,16,0.06327,0.12889,0.12053,0.87644,0.89051,0.84211,0.69333,0.69333,0.65828,0.3783,0.41111,0.24019,1.27,0.78,4.76,2.16,10.14,0.4031,0.8573,0.0,0.66479,4e-05,0.69333
qgan,10,0.11327,0.00852,0.19412,0.66446,0.86842,0.90526,0.30263,0.52821,0.62222,0.20795,0.26836499999999996,0.342595,0.71,5.96,3.85,1.03,7.5,0.53939,0.66119,0.06297,0.90526,0.06297,0.62222
qpeinexact,3,0.8642,0.62661,0.8257,0.74359,0.88636,0.86154,0.0,0.0,0.0,0.4321,0.313305,0.31112,0.67,0.12,3.48,0.34,17.46,0.0,0.66667,0.86177,0.93333,0.62224,0.0
realamprandom,3,0.72011,0.39961,0.5989,0.76471,0.89231,0.85,0.0,0.0,0.39286,0.360055,0.199805,0.39079,0.08,0.14,2.48,1.03,2.62,0.0,0.72414,0.11735,0.42857,0.63045,0.0
graphstate,7,0.35077,0.64165,0.63341,0.42157,0.88889,0.91667,0.32203,0.18182,0.37838,0.33640000000000003,0.411735,0.388135,6.91,0.19,1.83,1.38,2.43,0.14286,0.91667,0.41767,0.65421,0.63341,0.14286
qgan,4,0.79469,0.56172,0.81227,0.85526,0.89286,0.91892,0.09091,0.0,0.53175,0.4428,0.28086,0.473485,0.95,0.12,1.76,0.35,3.22,0.0,0.86667,0.04256,0.3,0.67258,0.16667
pricingput,7,0.0424,0.0021,0.09626,0.65986,0.87629,0.86701,0.18,0.18227,0.26852,0.1112,0.09218499999999999,0.08547,2.04,0.84,4.05,0.32,0.9,0.20325,0.5214,8e-05,0.50983,0.00427,0.16667
ae,10,0.07289,0.00084,0.00176,0.58079,0.86921,0.87288,0.27604,0.44444,0.51938,0.174465,0.22264,0.23706999999999998,0.67,6.12,5.08,1.61,4.94,0.49275,0.66052,0.00012,0.40826,0.00747,0.46667
qpeexact,14,0.00029,5e-05,0.00324,0.50516,0.86698,0.87005,0.5389,0.51992,0.70868,0.26959500000000003,0.259985,0.297725,3.82,2.03,1.87,5.34,4.83,0.58707,0.38992,0.0,0.26888,0.0,0.52148
su2random,6,0.21591,0.17537,0.19123,0.77749,0.87575,0.87179,0.48235,0.35152,0.53333,0.34913,0.263445,0.310235,2.83,0.46,3.37,2.71,1.66,0.29193,0.38783,0.08714,0.87179,0.08714,0.53333
dj,7,0.46557,0.61459,0.68145,0.53488,0.88235,0.92523,0.0,0.0,0.33333,0.232785,0.307295,0.49217,0.69,0.22,2.21,3.48,3.04,0.0,0.91304,0.27024,0.53608,0.0659,0.5
qpeexact,7,0.28471,0.28549,0.31447,0.54645,0.8728,0.85449,0.28916,0.30851,0.42553,0.286935,0.29700000000000004,0.25659,0.83,0.47,6.34,1.33,2.18,0.35849,0.51818,0.08765,0.85449,0.08765,0.42553
realamprandom,6,0.21665,0.17588,0.23784,0.76257,0.87317,0.82353,0.48235,0.35152,0.53333,0.34950000000000003,0.2637,0.322695,2.25,0.47,4.55,2.1,2.4,0.41667,0.41463,0.11206,0.82353,0.11206,0.53333
qpeexact,17,0.0,0.0,3e-05,0.46849,0.86478,0.86764,0.53054,0.61564,0.71194,0.26527,0.30782,0.33178,2.79,3.2,13.73,1.65,4.46,0.62544,0.64147,0.0,0.24762,0.0,0.56503
vqe,13,0.43306,0.56518,0.58343,0.875,0.92105,0.92793,0.41667,0.41667,0.5942,0.424865,0.490925,0.506345,0.21,0.25,4.12,8.18,4.42,0.37037,0.86154,0.02662,0.60116,0.02651,0.41667
ae,5,0.48837,0.31887,0.64913,0.7541,0.88136,0.89362,0.06667,0.05714,0.1,0.27752,0.188005,0.418445,0.1,0.25,3.85,1.48,2.1,0.11429,0.70339,0.33365,0.87578,0.31086,0.1
wstate,5,0.80853,0.8186,0.63525,0.78947,0.91111,0.88571,0.25,0.25,0.25,0.529265,0.5343,0.4502,0.03,0.09,1.87,7.31,3.17,0.25,0.88571,0.65122,0.86207,0.63525,0.25
qft,9,0.12198,0.12705,0.07684,0.51821,0.86733,0.85623,0.45349,0.42289,0.60714,0.287735,0.27497,0.310405,0.98,0.88,5.71,0.57,0.38,0.40796,0.38906,0.01367,0.84865,0.0,0.55556
qaoa,4,0.5904,0.39457,0.59341,0.70526,0.88235,0.91667,0.28571,0.31818,0.375,0.438055,0.356375,0.484205,0.24,0.17,1.89,0.63,1.65,0.375,0.91667,0.59341,0.91667,0.59341,0.375
wstate,9,0.60206,0.70137,0.40566,0.78378,0.91011,0.8961,0.375,0.375,0.375,0.48853,0.538185,0.5587,0.15,0.18,3.06,0.6,0.91,0.375,0.88406,0.40566,0.88406,0.5304,0.375
portfolioqaoa,5,0.23174,0.0518,0.28847,0.57202,0.87527,0.90625,0.11538,0.24786,0.43333,0.17356,0.14983,0.29511,0.69,0.52,4.7,0.93,1.63,0.21053,0.53279,0.15689,0.90625,0.15689,0.43333
qpeinexact,2,0.95689,0.96751,0.97483,0.83333,0.92308,0.92,0.0,0.0,0.0,0.478445,0.483755,0.44463,0.05,0.03,4.63,0.99,4.45,0.0,0.84615,0.92789,0.93939,0.88923,0.0
ae,12,0.02138,0.00507,0.0,0.55895,0.86653,0.87849,0.36164,0.40212,0.63525,0.19151,0.203595,0.30158500000000005,1.99,4.29,4.49,2.71,3.95,0.45133,0.86253,0.0,0.34173,0.0,0.35275
tsp,4,0.66978,0.76619,0.77188,0.89051,0.89655,0.89209,0.26667,0.26667,0.26667,0.468225,0.5164300000000001,0.519275,0.31,0.18,1.18,1.25,0.99,0.26667,0.9345,0.77188,0.9345,0.42568,0.26667
qftentangled,10,0.04245,0.00033,0.07155,0.4587,0.86559,0.84532,0.44177,0.51667,0.65789,0.24211,0.2585,0.330485,2.09,6.51,4.9,2.36,1.29,0.67708,0.35714,0.00308,0.84532,0.00308,0.65789
qftentangled,8,0.04399,0.05469,0.16475,0.41639,0.86836,0.84536,0.43258,0.44444,0.58667,0.23828500000000002,0.249565,0.304465,1.2,0.94,4.3,2.34,1.24,0.60938,0.35354,0.02226,0.84536,0.02226,0.58667
graphstate,12,0.1866,0.38907,0.57113,0.57143,0.90041,0.84848,0.15152,0.58333,0.71505,0.16906,0.4862,0.38207,0.21,0.39,4.07,2.15,2.67,0.35556,0.70588,0.00857,0.39216,0.0006,0.56667
qftentangled,8,0.04399,0.05469,0.16544,0.41639,0.86836,0.94078,0.43258,0.44444,0.58667,0.23828500000000002,0.249565,0.304465,0.47,0.9,2.67,19.15,2.55,0.60938,0.35354,0.02226,0.84536,0.0,0.50314
wstate,12,0.45699,0.63106,0.60308,0.78218,0.90984,0.87302,0.40909,0.40909,0.5875,0.43304,0.520075,0.51234,0.48,0.24,3.62,4.26,18.91,0.36,0.86188,0.04997,0.44251,0.00242,0.5
qft,12,0.00335,0.00071,0.02424,0.45909,0.86534,0.85538,0.46499,0.51474,0.64103,0.23417000000000002,0.257725,0.361225,2.73,7.86,12.02,2.97,4.88,0.59148,0.35955,0.0,0.86433,0.0,0.57817
dj,11,0.37968,0.35945,0.43023,0.61111,0.87611,0.91304,0.0,0.0,0.34286,0.18984,0.179725,0.41423499999999996,0.72,0.33,10.03,2.09,3.71,0.51923,0.62319,0.35686,0.55128,0.5277,0.0
vqe,4,0.82607,0.85825,0.85733,0.89286,0.925,0.9434,0.16667,0.16667,0.16667,0.49637,0.51246,0.5136700000000001,0.21,0.08,7.8,2.49,1.17,0.16667,0.91429,0.86067,0.91429,0.59463,0.16667
ae,6,0.40178,0.36104,0.50011,0.70625,0.87791,0.88722,0.10638,0.19048,0.2,0.25408000000000003,0.27576,0.36211499999999996,0.61,0.34,4.71,1.39,1.09,0.21053,0.65868,0.18074,0.88722,0.18074,0.2
qpeinexact,11,0.00844,0.00085,0.01739,0.57026,0.86907,0.85137,0.38403,0.45,0.544,0.196235,0.22542500000000001,0.27281,10.85,14.99,6.31,0.99,1.19,0.51948,0.74161,0.00162,0.85137,0.00162,0.544
qgan,8,0.25282,0.07089,0.38927,0.71119,0.87163,0.90411,0.275,0.41,0.53571,0.26391,0.240445,0.358175,1.13,0.64,4.13,1.17,1.69,0.45455,0.7284,0.18064,0.90411,0.18064,0.53571
qaoa,10,0.23122,0.19957,0.27126,0.70464,0.87847,0.91667,0.61429,0.62857,0.65,0.422755,0.41407,0.39159,0.18,0.47,3.03,1.21,1.46,0.65,0.91667,0.27126,0.91667,0.27126,0.65
wstate,16,0.30046,0.28983,0.36445,0.78102,0.90964,0.88327,0.43333,0.43333,0.52273,0.36689499999999997,0.36158,0.42559,0.47,0.36,3.28,10.33,3.12,0.45098,0.80608,0.00159,0.49328,0.00626,0.43333
portfoliovqe,6,0.09623,0.17638,0.23237,0.68409,0.86936,0.89655,0.43885,0.35152,0.53333,0.26754,0.26395,0.301625,2.38,0.53,5.13,0.06,9.8,0.41667,0.69427,0.06992,0.89655,0.06992,0.53333
qpeinexact,16,0.0,0.0,0.0001,0.44195,0.86523,0.8681,0.51812,0.52787,0.66728,0.25906,0.263935,0.3237,3.59,2.79,4.98,1.61,1.76,0.55439,0.35227,0.0,0.22243,0.0,0.55805
ghz,3,0.90522,0.91632,0.9027,0.75,0.92857,0.9,0.0,0.0,0.0,0.45261,0.45816,0.449315,0.14,0.05,2.71,1.0,2.33,0.0,0.75,0.89648,0.97143,0.87015,0.0
qft,5,0.45349,0.55655,0.26261,0.58333,0.87423,0.85143,0.1,0.17073,0.34615,0.276745,0.36363999999999996,0.36092,0.47,0.32,10.34,0.8,0.17,0.34615,0.85143,0.26261,0.85143,0.26261,0.34615
dj,12,0.43048,0.45443,0.38354,0.63333,0.87455,0.87625,0.09091,0.11429,0.46023,0.260695,0.28436,0.41322000000000003,0.19,0.34,4.14,0.51,0.44,0.6,0.55172,0.00871,0.3125,0.00111,0.53226
ghz,7,0.58824,0.81419,0.73718,0.625,0.925,0.92683,0.0,0.0,0.33333,0.29412,0.407095,0.412,0.09,0.08,2.71,0.26,0.18,0.0,0.84615,0.53044,0.19231,0.33249,0.0
wstate,9,0.60206,0.70137,0.7424,0.78378,0.91011,0.88406,0.375,0.375,0.375,0.48853,0.538185,0.5587,0.26,0.19,6.19,1.93,0.99,0.375,0.87692,0.40566,0.88406,0.40566,0.375
ae,9,0.13853,0.01565,0.00868,0.60497,0.86957,0.87629,0.21678,0.32184,0.41667,0.177655,0.168745,0.217885,1.54,0.78,18.41,2.56,2.76,0.54106,0.8344,0.0191,0.87629,0.0191,0.41667
wstate,5,0.80853,0.8186,0.82928,0.78947,0.91111,0.95181,0.25,0.25,0.25,0.529265,0.5343,0.4502,0.21,0.1,5.0,1.32,1.84,0.25,0.89744,0.65122,0.86207,0.2524,0.25
qft,15,0.00042,0.0,0.00107,0.49906,0.86507,0.8641,0.62921,0.60312,0.74182,0.314815,0.30156,0.31684,4.14,18.06,8.07,5.12,3.54,0.60069,0.37595,0.0,0.249,0.0,0.59694
qft,6,0.40362,0.31579,0.45509,0.5814,0.87024,0.84884,0.22222,0.26667,0.46154,0.31292,0.29123,0.298855,0.73,0.37,4.81,1.37,1.86,0.21739,0.46094,0.13617,0.84884,0.13617,0.46154
qaoa,8,0.32853,0.18831,0.35214,0.72527,0.87689,0.91667,0.66,0.70769,0.6875,0.494265,0.448,0.51982,0.6,0.38,3.31,1.0,1.87,0.6875,0.91667,0.35214,0.91667,0.35214,0.6875
qaoa,9,0.2721,0.20347,0.2844,0.70485,0.8815,0.91667,0.65672,0.61404,0.66667,0.46441,0.40875500000000003,0.48787,19.58,0.42,11.95,2.66,2.18,0.61538,0.73196,0.30907,0.91667,0.30907,0.66667
wstate,4,0.82865,0.86006,0.85845,0.7931,0.91176,0.88679,0.16667,0.16667,0.16667,0.49766,0.5133650000000001,0.51452,0.23,0.09,1.7,3.17,1.77,0.16667,0.89831,0.86237,0.89831,0.71062,0.16667
qft,14,1e-05,0.0,0.00228,0.48105,0.86552,0.86922,0.55056,0.62284,0.75618,0.275285,0.31142,0.332545,1.85,10.85,4.33,4.84,4.34,0.62624,0.37593,0.0,0.26989,0.0,0.55599
qft,7,0.24709,0.16468,0.33494,0.59259,0.86824,0.84956,0.35354,0.35897,0.5098,0.300315,0.261825,0.29161000000000004,0.87,0.55,4.57,1.73,1.95,0.37963,0.42246,0.07342,0.84956,0.07342,0.5098
dj,13,0.46488,0.33119,0.33207,0.77778,0.87594,0.88068,0.0,0.0,0.46053,0.23244,0.165595,0.39659999999999995,0.46,0.36,5.27,2.05,26.69,0.61538,0.52727,0.00508,0.37534,0.00095,0.26984
ghz,6,0.85826,0.83376,0.36808,0.64286,0.92537,0.84848,0.0,0.0,0.0,0.42913,0.41688,0.42041,0.11,0.08,3.23,1.12,2.34,0.0,0.92754,0.68659,0.64286,0.77459,0.0
wstate,8,0.62678,0.74763,0.75955,0.78462,0.91026,0.8843,0.35714,0.35714,0.35714,0.49196,0.552385,0.558345,0.21,0.16,3.36,1.1,22.86,0.35714,0.87719,0.54941,0.8963,0.4538,0.35714
ae,8,0.13412,0.0247,0.15878,0.59468,0.87115,0.87931,0.27869,0.32836,0.35714,0.206405,0.17653,0.27482,1.41,0.79,4.07,0.89,1.53,0.40132,0.53231,0.04469,0.87931,0.04469,0.35714
ghz,2,0.95696,0.93729,0.94424,0.83333,0.93333,0.94118,0.0,0.0,0.0,0.47848,0.468645,0.48366,0.05,0.02,2.87,1.25,14.12,0.0,0.88889,0.7002,0.97561,0.73756,0.0
qft,4,0.66815,0.54748,0.71153,0.62295,0.87383,0.85,0.17391,0.0,0.17949,0.42103,0.27374,0.45432,1.24,0.17,23.18,0.8,2.11,0.0,0.50909,0.62497,0.46575,0.39747,0.27778
ghz,20,0.41648,0.40614,0.27802,0.54762,0.92369,0.87215,0.0,0.0,0.45024,0.20824,0.20307,0.36557,1.55,0.23,13.5,2.99,2.95,0.45312,0.26437,0.00436,0.09829,0.00514,0.21429
wstate,17,0.29124,0.21923,0.33728,0.78082,0.9096,0.88321,0.4375,0.4375,0.50658,0.36436999999999997,0.328365,0.439995,2.03,0.33,13.85,0.7,2.1,0.50847,0.79298,0.0,0.86736,0.00466,0.4375
qaoa,11,0.08284,0.05155,0.22018,0.61074,0.87796,0.91667,0.68103,0.67347,0.72727,0.381935,0.36251,0.48267499999999997,0.61,0.56,12.99,0.5,1.06,0.67227,0.61111,0.23808,0.91667,0.23808,0.72727
portfoliovqe,7,0.04775,0.00451,0.13512,0.67666,0.86642,0.89535,0.46341,0.44809,0.60317,0.25558,0.2263,0.316075,0.28,0.81,2.87,0.33,2.29,0.51429,0.67391,0.02457,0.89535,0.02457,0.60317
qgan,9,0.21034,0.25707,0.24365,0.73656,0.86915,0.90244,0.40816,0.43089,0.58333,0.30925,0.34398,0.34800000000000003,1.32,0.65,5.94,0.48,1.12,0.46099,0.4556,0.11267,0.90244,0.11267,0.58333
qpeinexact,10,0.04531,0.02596,0.04302,0.45921,0.86996,0.85239,0.33621,0.45736,0.5,0.19076,0.24165999999999999,0.252605,1.28,6.18,5.95,0.75,0.73,0.51572,0.38372,0.00521,0.85239,0.00521,0.5
vqe,5,0.80542,0.81668,0.65212,0.89041,0.92381,0.86667,0.25,0.25,0.25,0.52771,0.5333399999999999,0.45106,0.17,0.09,0.83,0.05,0.74,0.25,0.86667,0.65212,0.86667,0.65212,0.25
ae,7,0.3327,0.24387,0.19453,0.66825,0.8733,0.88235,0.2,0.26882,0.44715,0.26635,0.256345,0.326785,0.86,0.41,7.91,1.18,12.57,0.2439,0.55435,0.02258,0.86272,0.09493,0.28571
dj,10,0.52393,0.37932,0.56327,0.70526,0.87692,0.91262,0.10714,0.0,0.40741,0.315535,0.18966,0.430595,0.76,0.29,5.88,1.41,9.58,0.0,0.91262,0.34407,0.48734,0.56327,0.0
qft,13,2e-05,9e-05,0.02171,0.4244,0.86562,0.86941,0.48157,0.70345,0.74662,0.240795,0.35177,0.29349,2.43,5.73,6.24,3.62,4.58,0.60094,0.38081,0.0,0.26024,0.0,0.51494
wstate,13,0.43792,0.57026,0.25602,0.78182,0.90977,0.87339,0.41667,0.41667,0.64583,0.427295,0.493465,0.50666,0.71,0.27,1.81,3.15,3.78,0.33333,0.66238,0.02766,0.58857,7e-05,0.24638
qftentangled,9,0.00852,0.08381,0.16409,0.38798,0.86722,0.8459,0.39732,0.54464,0.61957,0.20292,0.314225,0.314455,0.5,0.91,13.77,0.6,0.89,0.59341,0.87019,0.00934,0.8459,0.00934,0.61957
qftentangled,9,0.00852,0.08381,0.18213,0.38798,0.86722,0.8459,0.39732,0.54464,0.61957,0.20292,0.314225,0.298325,6.39,0.92,4.58,0.89,2.17,0.59341,0.675,0.00934,0.8459,0.00934,0.61957
